link,price_num,bedroom,bedroom_num,bathroom_num,area,latitude,longitude,posing time,update time,available time
http://boston.craigslist.org/gbs/fee/6102976531.html,2600,3BR / 1Ba,3,1,available sep 1,42.372562,-71.09182,2017-04-24  7:58pm,2017-04-29  8:28pm,cats are OK - purrr
http://boston.craigslist.org/gbs/nfb/6106700165.html,2600,3BR / 1Ba,3,1,549ft2,42.372562,-71.09182,2017-04-27 11:08am,email to friend,available sep 1
http://boston.craigslist.org/gbs/nfb/6102523586.html,2600,3BR / 1Ba,3,1,549ft2,42.372562,-71.09182,2017-04-24  2:56pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6067764494.html,3100,3BR / 1Ba,3,1,available sep 1,42.372622,-71.098537,2017-03-31  8:11am,2017-04-29  7:28pm,apartment
http://boston.craigslist.org/gbs/abo/6086448503.html,2750,3BR / 1Ba,3,1,834ft2,42.372778,-71.09115,2017-04-13  8:18am,2017-05-01  5:45pm,available sep 1
http://boston.craigslist.org/gbs/fee/6068242834.html,3000,3BR / 1Ba,3,1,1000ft2,42.372913,-71.094488,2017-03-31  1:39pm,2017-04-29  6:23am,available jun 1
http://boston.craigslist.org/gbs/fee/6068518089.html,3000,3BR / 1Ba,3,1,available sep 1,42.372982,-71.095497,2017-03-31  4:32pm,2017-04-28  4:28pm,apartment
http://boston.craigslist.org/gbs/fee/6100887323.html,2900,3BR / 1Ba,3,1,available jun 1,42.373015,-71.095322,2017-04-23  1:26pm,2017-04-28  1:16pm,apartment
http://boston.craigslist.org/gbs/fee/6098582526.html,2900,3BR / 1Ba,3,1,available jun 1,42.373015,-71.095322,2017-04-21  7:00pm,2017-04-30  6:04pm,apartment
http://boston.craigslist.org/gbs/fee/6102022570.html,2900,3BR / 3Ba,3,3,available jun 1,42.373015,-71.095322,2017-04-24 10:20am,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6104117945.html,3900,3BR / 2Ba,3,2,available sep 1,42.373237,-71.094419,2017-04-25  3:17pm,2017-04-30  2:51pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6094888910.html,3495,3BR / 2Ba,3,2,available jun 1,42.373623,-71.12455,2017-04-19 11:36am,2017-05-01 10:18am,apartment
http://boston.craigslist.org/gbs/abo/6099794677.html,3700,3BR / 1Ba,3,1,1300ft2,42.373859,-71.097803,2017-04-22  4:00pm,2017-04-30 12:57pm,available sep 1
http://boston.craigslist.org/gbs/fee/6104560216.html,3650,3BR / 1Ba,3,1,1350ft2,42.373859,-71.097803,2017-04-25  8:29pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6096682444.html,3100,3BR / 1Ba,3,1,available sep 1,42.373859,-71.097803,2017-04-20  2:26pm,2017-04-25  3:47pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6077374202.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-04-06  6:51pm,2017-05-01  9:41pm,available sep 1
http://boston.craigslist.org/gbs/fee/6065237873.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-03-29 12:45pm,2017-04-27  2:36pm,available sep 1
http://boston.craigslist.org/gbs/fee/6103020918.html,3700,3BR / 1Ba,3,1,1300ft2,42.373859,-71.097803,2017-04-24  8:34pm,2017-04-30  8:56pm,available sep 1
http://boston.craigslist.org/gbs/fee/6098714389.html,3800,3BR / 1Ba,3,1,available sep 1,42.373859,-71.097803,2017-04-21  8:55pm,2017-04-30 10:39pm,apartment
http://boston.craigslist.org/gbs/nfb/6102575374.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-04-24  3:26pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6062443375.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-03-27  1:24pm,2017-04-26 11:07am,available sep 1
http://boston.craigslist.org/gbs/fee/6102010694.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-04-24 10:13am,2017-04-30  8:46pm,available sep 1
http://boston.craigslist.org/gbs/fee/6082693669.html,3100,3BR / 1Ba,3,1,available sep 1,42.373859,-71.097803,2017-04-10  2:52pm,2017-05-01  1:03pm,apartment
http://boston.craigslist.org/gbs/nfb/6102575374.html,3100,3BR / 1Ba,3,1,888ft2,42.373859,-71.097803,2017-04-24  3:26pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6077070930.html,3600,3BR / 1Ba,3,1,1200ft2,42.374526,-71.107061,2017-04-06  3:20pm,2017-05-01 10:05am,available sep 1
http://boston.craigslist.org/gbs/fee/6086091321.html,3300,3BR / 1Ba,3,1,available jun 1,42.375088,-71.136642,2017-04-12  8:56pm,2017-05-01  3:00pm,apartment
http://boston.craigslist.org/gbs/nfb/6103748080.html,984,3BR / 1Ba,3,1,available jun 15,42.375301,-71.102614,2017-04-25 11:49am,2017-04-30  7:10pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6104231923.html,3600,3BR / 1Ba,3,1,available apr 25,42.375487,-71.108656,2017-04-25  4:27pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/nfb/6102689469.html,3200,3BR / 1Ba,3,1,1000ft2,42.375612,-71.100749,2017-04-24  4:35pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6095893514.html,3200,3BR / 1Ba,3,1,1ft2,42.375612,-71.100749,2017-04-19 11:42pm,2017-04-30  1:51pm,available sep 1
http://boston.craigslist.org/gbs/fee/6102481592.html,3200,3BR / 1Ba,3,1,1ft2,42.376035,-71.101184,2017-04-24  2:32pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6080426755.html,3200,3BR / 1Ba,3,1,1ft2,42.376035,-71.101184,2017-04-08  9:56pm,2017-04-29  9:50pm,available sep 1
